MQTT_TOPIC,MQTT_PAYLOAD_UTF8,MQTT_RETAIN,MQTT_PACKET_ID,MQTT_TIMESTAMP_MS,MQTT_TIMESTAMP_ISO_8601,TOPIC_COMPANY,TOPIC_LOCATION,TOPIC_AREA,TOPIC_TYPE,TOPIC_DEVICE,TOPIC_PAYLOAD_VERSION,TOPIC_MANUFACTURER,PAYLOAD_HEADERID,PAYLOAD_TIMESTAMP,PAYLOAD_VERSION,PAYLOAD_MANUFACTURER,PAYLOAD_SERIALNUMBER,PAYLOAD_AGVPOSITION_X,PAYLOAD_AGVPOSITION_Y,PAYLOAD_AGVPOSITION_THETA,PAYLOAD_AGVPOSITION_MAPID,PAYLOAD_AGVPOSITION_POSITIONINITIALIZED,PAYLOAD_AGVPOSITION_LOCALIZATIONSCORE,PAYLOAD_VELOCITY_VX,PAYLOAD_VELOCITY_VY,PAYLOAD_VELOCITY_OMEGA,PAYLOAD_SCHEMAVALIDATION
kb_cvs/aldersbach/logistic/rtls/v2/synaos/sc-aware-JQ6G0078/visualization,"{""headerId"":2448,""timestamp"":""2025-10-05T15:11:33.587412Z"",""version"":""2.0.0"",""manufacturer"":""synaos"",""serialNumber"":""sc-aware-JQ6G0078"",""agvPosition"":{""x"":137.119,""y"":79.886,""theta"":-1.5685791055133933,""mapId"":""KB_Forklift_05_09_2025"",""positionInitialized"":true,""localizationScore"":1},""velocity"":{""vx"":0.22404725907364023,""vy"":-0.02569911451897541,""omega"":-0.013569611140208764},""schemavalidation"":true}",false,0,1759677093735,2025-10-05 15:11:33.735,kb_cvs,aldersbach,logistic,rtls,v2,synaos,sc-aware-JQ6G0078,2448,2025-10-05T15:11:33.587412Z,2.0.0,synaos,sc-aware-JQ6G0078,137,80,-1.568579106,KB_Forklift_05_09_2025,true,1,0,0,0,true
kb_cvs/aldersbach/logistic/rtls/v2/synaos/sc-aware-JQ6G0078/visualization,"{""headerId"":2447,""timestamp"":""2025-10-05T15:11:32.519869Z"",""version"":""2.0.0"",""manufacturer"":""synaos"",""serialNumber"":""sc-aware-JQ6G0078"",""agvPosition"":{""x"":137.133,""y"":80.039,""theta"":-1.5608786162356605,""mapId"":""KB_Forklift_05_09_2025"",""positionInitialized"":true,""localizationScore"":1},""velocity"":{""vx"":0.06847953189655853,""vy"":-0.0021945823113663277,""omega"":0.0027153237981297302},""schemavalidation"":true}",false,0,1759677092642,2025-10-05 15:11:32.642,kb_cvs,aldersbach,logistic,rtls,v2,synaos,sc-aware-JQ6G0078,2447,2025-10-05T15:11:32.519869Z,2.0.0,synaos,sc-aware-JQ6G0078,137,80,-1.560878616,KB_Forklift_05_09_2025,true,1,0,0,0,true
kb_cvs/aldersbach/logistic/rtls/v2/synaos/sc-aware-JQ6G0078/visualization,"{""headerId"":2446,""timestamp"":""2025-10-05T15:11:31.452964Z"",""version"":""2.0.0"",""manufacturer"":""synaos"",""serialNumber"":""sc-aware-JQ6G0078"",""agvPosition"":{""x"":137.134,""y"":80.059,""theta"":-1.5616945748676443,""mapId"":""KB_Forklift_05_09_2025"",""positionInitialized"":true,""localizationScore"":1},""velocity"":{""vx"":-0.00043368840092804516,""vy"":0.0010993606461270594,""omega"":0.0002832042331822011},""schemavalidation"":true}",false,0,1759677091587,2025-10-05 15:11:31.587,kb_cvs,aldersbach,logistic,rtls,v2,synaos,sc-aware-JQ6G0078,2446,2025-10-05T15:11:31.452964Z,2.0.0,synaos,sc-aware-JQ6G0078,137,80,-1.561694575,KB_Forklift_05_09_2025,true,1,0,0,0,true
kb_cvs/aldersbach/logistic/rtls/v2/synaos/sc-aware-JQ6G0078/visualization,"{""headerId"":2445,""timestamp"":""2025-10-05T15:11:30.385767Z"",""version"":""2.0.0"",""manufacturer"":""synaos"",""serialNumber"":""sc-aware-JQ6G0078"",""agvPosition"":{""x"":137.134,""y"":80.059,""theta"":-1.5617697759252218,""mapId"":""KB_Forklift_05_09_2025"",""positionInitialized"":true,""localizationScore"":1},""velocity"":{""vx"":-0.0011953385916279263,""vy"":-0.0036862145773220744,""omega"":-0.00035568621257027743},""schemavalidation"":true}",false,0,1759677090535,2025-10-05 15:11:30.535,kb_cvs,aldersbach,logistic,rtls,v2,synaos,sc-aware-JQ6G0078,2445,2025-10-05T15:11:30.385767Z,2.0.0,synaos,sc-aware-JQ6G0078,137,80,-1.561769776,KB_Forklift_05_09_2025,true,1,0,0,0,true
kb_cvs/aldersbach/logistic/rtls/v2/synaos/sc-aware-JQ6G0078/visualization,"{""headerId"":2444,""timestamp"":""2025-10-05T15:11:29.320456Z"",""version"":""2.0.0"",""manufacturer"":""synaos"",""serialNumber"":""sc-aware-JQ6G0078"",""agvPosition"":{""x"":137.134,""y"":80.053,""theta"":-1.5620731770881928,""mapId"":""KB_Forklift_05_09_2025"",""positionInitialized"":true,""localizationScore"":1},""velocity"":{""vx"":-0.02045078269510522,""vy"":-0.0157546935176316,""omega"":-0.0022997599778704202},""schemavalidation"":true}",false,0,1759677089476,2025-10-05 15:11:29.476,kb_cvs,aldersbach,logistic,rtls,v2,synaos,sc-aware-JQ6G0078,2444,2025-10-05T15:11:29.320456Z,2.0.0,synaos,sc-aware-JQ6G0078,137,80,-1.562073177,KB_Forklift_05_09_2025,true,1,0,0,0,true
kb_cvs/aldersbach/logistic/rtls/v2/synaos/sc-aware-JQ6G0078/visualization,"{""headerId"":2443,""timestamp"":""2025-10-05T15:11:28.320520Z"",""version"":""2.0.0"",""manufacturer"":""synaos"",""serialNumber"":""sc-aware-JQ6G0078"",""agvPosition"":{""x"":137.134,""y"":80.049,""theta"":-1.5610857577073176,""mapId"":""KB_Forklift_05_09_2025"",""positionInitialized"":true,""localizationScore"":1},""velocity"":{""vx"":-0.0019934560260938304,""vy"":-0.0016203554251944137,""omega"":0.00023051842142067454},""schemavalidation"":true}",false,0,1759677088455,2025-10-05 15:11:28.455,kb_cvs,aldersbach,logistic,rtls,v2,synaos,sc-aware-JQ6G0078,2443,2025-10-05T15:11:28.320520Z,2.0.0,synaos,sc-aware-JQ6G0078,137,80,-1.561085758,KB_Forklift_05_09_2025,true,1,0,0,0,true
kb_cvs/aldersbach/logistic/rtls/v2/synaos/sc-aware-JQ6G0078/visualization,"{""headerId"":2442,""timestamp"":""2025-10-05T15:11:27.253568Z"",""version"":""2.0.0"",""manufacturer"":""synaos"",""serialNumber"":""sc-aware-JQ6G0078"",""agvPosition"":{""x"":137.134,""y"":80.049,""theta"":-1.5609830615938964,""mapId"":""KB_Forklift_05_09_2025"",""positionInitialized"":true,""localizationScore"":1},""velocity"":{""vx"":-0.004158655454081828,""vy"":0.00959270393836611,""omega"":0.0003985531580528774},""schemavalidation"":true}",false,0,1759677087397,2025-10-05 15:11:27.397,kb_cvs,aldersbach,logistic,rtls,v2,synaos,sc-aware-JQ6G0078,2442,2025-10-05T15:11:27.253568Z,2.0.0,synaos,sc-aware-JQ6G0078,137,80,-1.560983062,KB_Forklift_05_09_2025,true,1,0,0,0,true
kb_cvs/aldersbach/logistic/rtls/v2/synaos/sc-aware-JQ6G0078/visualization,"{""headerId"":2441,""timestamp"":""2025-10-05T15:11:26.189524Z"",""version"":""2.0.0"",""manufacturer"":""synaos"",""serialNumber"":""sc-aware-JQ6G0078"",""agvPosition"":{""x"":137.134,""y"":80.049,""theta"":-1.5610389707872159,""mapId"":""KB_Forklift_05_09_2025"",""positionInitialized"":true,""localizationScore"":1},""velocity"":{""vx"":0.0015467105942451249,""vy"":0.0007233511070058687,""omega"":0.00030232678566756573},""schemavalidation"":true}",false,0,1759677086337,2025-10-05 15:11:26.337,kb_cvs,aldersbach,logistic,rtls,v2,synaos,sc-aware-JQ6G0078,2441,2025-10-05T15:11:26.189524Z,2.0.0,synaos,sc-aware-JQ6G0078,137,80,-1.561038971,KB_Forklift_05_09_2025,true,1,0,0,0,true
kb_cvs/aldersbach/logistic/rtls/v2/synaos/sc-aware-JQ6G0078/visualization,"{""headerId"":2440,""timestamp"":""2025-10-05T15:11:25.185867Z"",""version"":""2.0.0"",""manufacturer"":""synaos"",""serialNumber"":""sc-aware-JQ6G0078"",""agvPosition"":{""x"":137.134,""y"":80.05,""theta"":-1.5610590371094943,""mapId"":""KB_Forklift_05_09_2025"",""positionInitialized"":true,""localizationScore"":1},""velocity"":{""vx"":-0.00009290967467259951,""vy"":0.00044807504517304974,""omega"":0.000008590965544796442},""schemavalidation"":true}",false,0,1759677085313,2025-10-05 15:11:25.313,kb_cvs,aldersbach,logistic,rtls,v2,synaos,sc-aware-JQ6G0078,2440,2025-10-05T15:11:25.185867Z,2.0.0,synaos,sc-aware-JQ6G0078,137,80,-1.561059037,KB_Forklift_05_09_2025,true,1,0,0,0,true
kb_cvs/aldersbach/logistic/rtls/v2/synaos/sc-aware-JQ6G0078/visualization,"{""headerId"":2439,""timestamp"":""2025-10-05T15:11:24.120814Z"",""version"":""2.0.0"",""manufacturer"":""synaos"",""serialNumber"":""sc-aware-JQ6G0078"",""agvPosition"":{""x"":137.133,""y"":80.05,""theta"":-1.561065171242948,""mapId"":""KB_Forklift_05_09_2025"",""positionInitialized"":true,""localizationScore"":1},""velocity"":{""vx"":0.0008421904986327887,""vy"":-0.0007448591477379147,""omega"":-0.00042497983574282496},""schemavalidation"":true}",false,0,1759677084254,2025-10-05 15:11:24.254,kb_cvs,aldersbach,logistic,rtls,v2,synaos,sc-aware-JQ6G0078,2439,2025-10-05T15:11:24.120814Z,2.0.0,synaos,sc-aware-JQ6G0078,137,80,-1.561065171,KB_Forklift_05_09_2025,true,1,0,0,0,true
